NOM;SOUS_TYPE;CODE_INSEE;TYPE;geometry
CAPITAINERIE PORT LYMPIA;PORT;06088;TRANSPORT;{"type": "Point", "coordinates": [7.28631903, 43.69430232]}
PORT DE CARRAS;PORT;06088;TRANSPORT;{"type": "Point", "coordinates": [7.23087129, 43.6786307]}
PORT LYMPIA;PORT;06088;TRANSPORT;{"type": "Point", "coordinates": [7.28448439, 43.69443126]}
PORT;PORT;06123;TRANSPORT;{"type": "Point", "coordinates": [7.18326722, 43.65695169]}
PORT ROYAL DE LA DARSE;PORT;06159;TRANSPORT;{"type": "Point", "coordinates": [7.30771319, 43.69753399]}
PORT DE LA SANTE;PORT;06159;TRANSPORT;{"type": "Point", "coordinates": [7.31237863, 43.70297406]}
PORT DU CROS DE CAGNES;PORT;06027;TRANSPORT;{"type": "Point", "coordinates": [7.17144174, 43.65705544]}
PORT DE CAP D'AIL;PORT;06032;TRANSPORT;{"type": "Point", "coordinates": [7.41378098, 43.72519538]}
PORT DE PLAISANCE DE BEAULIEU SUR MER;PORT;06011;TRANSPORT;{"type": "Point", "coordinates": [7.33701957, 43.70858813]}
PORT D'EZE;PORT;06059;TRANSPORT;{"type": "Point", "coordinates": [7.35078211, 43.71635174]}
PORT DES FOURMIS;PORT;06011;TRANSPORT;{"type": "Point", "coordinates": [7.33236184, 43.70404976]}
PORT DE SAINT JEAN CAP FERRAT;PORT;06121;TRANSPORT;{"type": "Point", "coordinates": [7.33629495, 43.69025279]}
GARE MARITIME;PORT;06088;TRANSPORT;{"type": "Point", "coordinates": [7.28913775, 43.69361722]}
